,sentence_id,words,labels
1742,383,.,O
6722,1482,',O
5859,1293,Naoto,B-PER
424,103,llaqtanqa,I-LOC
12792,3212,distritu,I-LOC
12325,2997,Chiway,B-LOC
14545,4303,distritu,I-LOC
4384,969,Killapampa,B-LOC
14724,4406,de,I-LOC
904,206,mama,I-ORG
17485,5416,qucha,I-LOC
4272,946,Kimsantin,B-LOC
4892,1075,Rurrenabaque,B-LOC
12026,2865,distritu,I-LOC
3525,786,Nuevo,B-LOC
10758,2371,Iglesias,I-PER
1031,234,parki,I-ORG
11620,2679,Antonio,B-LOC
9319,2054,',O
2278,503,munisipyu,I-LOC
7788,1716,Kay,O
8085,1783,Bolívarmantam,I-PER
3627,809,",",O
17396,5391,Kamachina,I-LOC
15366,4719,García,I-PER
11761,2740,distritu,I-LOC
2192,485,.,O
16468,5102,Armstrong,I-PER
13117,3353,distritu,I-LOC
16797,5207,Fierro,I-PER
12086,2892,distritu,I-LOC
9721,2142,河北,O
13679,3733,P'allqa,B-LOC
12154,2924,Wayllati,B-LOC
16378,5074,Juan,B-PER
14437,4216,Chupa,B-LOC
12604,3124,Sara,I-LOC
13586,3655,Mitu,B-LOC
16196,5020,Guardia,I-PER
6789,1497,Kaylluma,B-LOC
3349,743,kaynin,I-ORG
7077,1561,.,O
2260,498,',O
16069,4975,Gérson,B-PER
6318,1391,Pardo,I-PER
8809,1939,Nicolás,B-PER
10170,2244,pruwinsya,I-LOC
8294,1831,Candamo,I-PER
4744,1040,',O
5626,1242,Manuel,B-PER
11237,2524,Castañeda,I-LOC
5915,1305,),O
3274,727,paniscus,O
9807,2158,2006,I-ORG
11003,2423,Piluta,B-ORG
3505,781,Suntur,I-ORG
12595,3120,Pararka,B-LOC
13172,3380,Urqus,B-LOC
12671,3157,pruwinsya,I-LOC
14113,4018,César,I-LOC
5241,1151,Isabel,I-LOC
12919,3260,Llapa,B-LOC
4247,940,warwasku,I-LOC
7791,1716,Bolívarmantam,I-PER
2148,475,Kuri,B-LOC
10575,2331,tajacu,O
9861,2170,Newton,I-PER
5530,1218,Pachantin,I-ORG
7682,1693,PUSAPUNA,O
9048,1996,',O
11629,2682,Kurunku,B-LOC
11493,2628,Longuita,B-LOC
9956,2192,kaynin,I-ORG
7483,1651,.,O
6175,1362,',O
10294,2271,Davor,B-PER
16054,4968,Febuspa,I-PER
14878,4493,Ricardopa,B-PER
12692,3166,distritu,I-LOC
4376,968,',O
4371,966,),O
6045,1332,Ariqipa,I-LOC
5235,1150,",",O
553,130,.,O
8668,1906,suwa,I-LOC
16060,4972,Georges,B-PER
7177,1586,.,O
3167,704,Tupaq,B-PER
5652,1249,wak'a,I-LOC
3813,850,pruwinsya,I-LOC
14809,4444,Sipawa,B-LOC
11137,2456,Esperanza,I-LOC
10610,2340,pusapuna,O
9552,2106,Melgar,I-PER
5212,1144,pusapuna,O
15108,4607,Peláezqa,I-PER
3005,670,Piruwanu,B-ORG
428,104,Pachantin,I-ORG
12440,3049,distritu,I-LOC
17175,5336,López,I-PER
722,165,wamaq,O
1709,377,José,I-PER
7749,1708,(,I-LOC
17178,5337,Fray,B-PER
2083,458,.,O
2813,628,',O
2154,476,Buliwyap,B-LOC
2475,547,m,O
5893,1300,(,O
9235,2037,),O
15074,4593,Belaúnde,I-PER
14572,4319,San,B-LOC
15399,4729,Toro,I-PER
4950,1086,",",O
1505,338,Liyun,B-PER
11310,2555,Pueblo,B-LOC
7826,1724,Delft,O
8134,1795,Amaru,I-PER
8348,1842,.,O
13831,3838,Wiru,B-LOC
1111,253,Awya,B-ORG
4602,1014,.,O
9019,1990,Kay,O
17549,5458,Rusiyapa,B-LOC
11162,2478,Juan,I-LOC
8546,1882,',O
11356,2570,María,I-LOC
14769,4427,Punta,I-LOC
17071,5297,Tsuchiya,I-PER
2894,646,Wasin,I-ORG
15024,4582,Yachaysunturpi,I-ORG
1294,293,",",O
15539,4778,Marie,I-PER
16523,5122,Juana,B-PER
11497,2629,distritu,I-LOC
12708,3174,distritu,I-LOC
1587,352,wasi,I-ORG
1286,292,Q'awa,I-ORG
5878,1297,',O
16231,5031,Qispichiq,I-PER
11473,2618,distritu,I-LOC
3058,680,Palaeosuchus,O
13890,3877,pruwinsya,I-LOC
4280,947,),O
9210,2032,Kupa,I-ORG
16227,5030,de,I-PER
7162,1582,Fernão,B-PER
4977,1091,.,O
5437,1194,Kupa,I-ORG
8925,1967,Pachantin,I-ORG
6871,1517,Aqupampa,B-LOC
4797,1054,.,O
11865,2787,distritu,I-LOC
7630,1679,ch'unqa,I-LOC
10814,2382,'Obras,O
5737,1268,',O
13390,3544,Kawri,B-LOC
3056,680,',O
9761,2148,.,O
7118,1570,PUSAPUNA,O
17148,5324,Canessa,I-PER
5418,1190,Sunturpa,I-ORG
9647,2126,Pachantin,I-ORG
1544,344,Yasuo,B-PER
321,78,Kupa,I-ORG
3782,845,Buliwyap,B-LOC
6936,1529,),I-ORG
7978,1758,clarinete,O
9162,2023,Askanku,B-LOC
12142,2918,distritu,I-LOC
8084,1783,Simón,B-PER
11937,2820,Nipiña,B-LOC
8026,1769,Toribio,B-PER
1275,289,Marco,B-PER
6319,1391,y,I-PER
12093,2896,Anku,B-LOC
8942,1971,',O
7319,1618,Kupa,I-ORG
3239,720,Alberto,B-ORG
15656,4828,Georgia,B-PER
12466,3060,distritu,I-LOC
12549,3099,Uqaña,B-LOC
13145,3366,distritu,I-LOC
2512,555,Kupa,I-ORG
1930,422,(,O
860,196,Pachantin,I-ORG
7844,1728,mama,I-ORG
3632,810,sutichasqa,O
16459,5099,Lugones,I-PER
4519,995,los,I-LOC
5826,1285,(,O
1372,309,.,O
4028,893,(,O
14369,4180,Bellavista,B-LOC
168,40,Beethoven,I-PER
11948,2825,distritu,I-LOC
2600,577,Gaius,B-PER
2850,635,Wasin,I-ORG
8308,1834,Kupa,I-ORG
12224,2951,Siwas,I-LOC
16094,4984,Guadalupe,B-PER
16049,4967,Garcilaso,B-PER
5586,1232,Waraniyi,B-ORG
2647,587,Qhichwa,B-ORG
5709,1261,Kupa,I-ORG
10620,2341,dolce,O
9559,2108,PUSAPUNA,O
14448,4223,Salinas,I-LOC
3170,704,ñiqinpa,I-PER
1276,289,van,I-PER
4228,935,de,I-PER
15390,4726,Silva,I-PER
2734,608,suyukuna,I-ORG
8121,1792,Buliwyap,B-LOC
461,110,llaqta,I-LOC
15127,4616,tayta,B-PER
16680,5167,Melchor,B-PER
14230,4093,El,B-LOC
9857,2169,Bárbara,I-LOC
11902,2804,distritu,I-LOC
15767,4871,y,I-PER
4043,896,Sucre,I-PER
4490,989,',O
16754,5193,Solano,I-PER
1948,426,Kupa,I-ORG
15689,4840,Oscar,I-PER
15885,4917,Rudolf,I-PER
3477,776,Kupa,I-ORG
10880,2397,Domingo,B-PER
11029,2428,Tuku,B-LOC
637,147,runakunap,I-ORG
7206,1592,1994,I-ORG
2286,504,pyramidalis,O
13589,3658,Qumas,B-LOC
10987,2418,pacha,I-ORG
3863,863,Arrhenius,I-PER
6571,1447,sutinchasqa,O
8514,1876,San,B-LOC
1151,261,III,I-PER
16711,5176,Hernández,I-PER
13519,3617,Paraqas,B-LOC
9433,2083,",",O
17473,5410,walla,I-LOC
14908,4522,Marcelinacha,B-PER
861,197,PUSAPUNA,O
1059,240,Mendoza,I-PER
16414,5083,Vásquez,I-PER
132,31,Hayt'ay,I-ORG
14833,4460,Carmen,B-LOC
17295,5368,Machu,B-LOC
3166,703,parki,I-ORG
10394,2293,',O
15083,4596,Hans,I-PER
10772,2374,.,O
10246,2259,(,O
16012,4955,Campuzano,I-PER
3577,798,.,O
482,114,Buliwya,I-ORG
3714,829,Esmeraldas,B-LOC
2269,501,Belanov,I-PER
17110,5309,Zarategui,I-PER
10592,2334,1998,I-ORG
14985,4574,Marka,I-ORG
15853,4905,Lissón,I-PER
10707,2359,Lima,I-LOC
6416,1414,Independencia,B-LOC
13008,3302,Surit'i,B-LOC
13112,3351,distritu,I-LOC
16505,5114,Luján,B-PER
4901,1076,'Ochroma,O
3011,671,Liyun,B-PER
1105,251,raymi,I-ORG
8681,1909,),I-LOC
7056,1557,",",O
16057,4970,Genaro,B-PER
2002,437,',O
6724,1482,.,O
4365,965,Tuku,B-LOC
14208,4078,Tampupata,B-LOC
7542,1661,Guzmán,I-PER
2003,437,.,O
6686,1474,Markus,I-LOC
4494,990,kaynin,I-ORG
7163,1582,de,I-PER
2359,521,llaqtanqa,I-LOC
1429,322,Hayt'ay,I-ORG
2629,584,.,O
5901,1302,',O
8339,1841,(,I-PER
14774,4429,distritu,I-LOC
956,217,Waldheim,I-PER
839,191,Usqhullu,B-LOC
6756,1490,Kupa,I-ORG
3558,793,),I-LOC
11819,2767,Pamparumas,B-LOC
12157,2925,distritu,I-LOC
21,5,Wang,B-PER
9745,2146,(,O
3491,779,',O
14182,4060,Kuntamana,B-LOC
17007,5277,Abrahamian,I-PER
16062,4972,Raymond,I-PER
11299,2550,distritu,I-LOC
4665,1024,purin,O
9032,1992,Kupa,I-ORG
12902,3253,Manuel,I-LOC
12599,3122,Uswa,B-LOC
13301,3481,Sallqawasi,B-LOC
1481,332,Ismael,B-ORG
809,184,Kupa,I-ORG
1358,306,1.259,O
7047,1555,risirwa,I-ORG
3767,841,.,O
14746,4414,Sama,B-LOC
8252,1824,',O
7114,1568,Buena,B-LOC
7250,1601,Kupa,I-ORG
9638,2124,Araújo,I-PER
9890,2178,Tomás,I-PER
5529,1218,Hayt'ay,I-ORG
2884,644,',O
13346,3506,Chukis,B-LOC
11338,2565,distritu,I-LOC
4372,967,Francesco,B-PER
4260,944,en,O
1056,240,Toribio,B-PER
1229,280,Kuntur,B-LOC
5603,1235,',O
16618,5147,Bellido,I-PER
16041,4963,García,I-PER
3304,734,de,I-PER
2485,549,pruwinsya,I-LOC
5298,1165,5,O
1841,402,Amirika,B-ORG
1762,387,",",O
16366,5070,de,I-PER
4029,893,5.99,O
8191,1810,Ichhuna,B-ORG
6176,1362,.,O
3327,738,hunt'arqan,O
17196,5342,mamallaqta,I-LOC
290,70,llaqtapi,O
7783,1715,',O
5545,1221,von,I-PER
7426,1640,prestamo,O
1361,307,Chi,I-LOC
9796,2156,pruwinsya,I-LOC
6642,1465,Suntur,I-ORG
6442,1420,Yashin,I-PER
2880,643,Kayampi,B-LOC
4455,983,(,O
15369,4720,Alexis,I-PER
14883,4498,Teresaqa,B-PER
9601,2115,.,O
865,197,),I-LOC
8450,1861,Beni,B-ORG
9335,2059,Pachantin,I-ORG
10133,2236,llaqtam,O
10317,2276,',O
13433,3566,Inka,B-LOC
2174,479,parki,I-ORG
9670,2132,munisipyu,I-LOC
12174,2934,Alto,B-LOC
11021,2426,Butros-Ghali,I-PER
12405,3034,distritu,I-LOC
11220,2516,Apulupampa,B-LOC
3987,885,.,O
11627,2681,Fitzcarrald,I-LOC
8654,1904,Intangible,O
9543,2104,risirwa,I-ORG
17439,5399,risirwa,I-LOC
10417,2298,.,O
9704,2139,Susyalismuman,B-ORG
7896,1740,Magdalena,B-LOC
12014,2859,distritu,I-LOC
11100,2444,),I-LOC
11891,2799,Wakaschuqi,B-LOC
7979,1758,',O
2918,651,cyanoptera,O
4772,1048,',O
12363,3015,distritu,I-LOC
12710,3175,distritu,I-LOC
14667,4370,Pardo,B-LOC
3264,725,Atawallpatas,B-PER
15935,4934,Florencio,B-PER
17207,5346,wak'a,I-LOC
9232,2037,Xianfan,I-PER
1136,259,Santu,B-LOC
10568,2330,Pachakutik,B-ORG
16866,5228,Paul,I-PER
15655,4827,Augustin,I-PER
7127,1572,ñawpa,I-ORG
3896,867,',O
801,182,qiwlla,I-LOC
9158,2021,),O
602,140,.,O
8794,1935,Tunshu,B-LOC
8203,1813,Pachakutiq,B-PER
8079,1782,Wik'uñakuna,B-ORG
849,193,Hayt'ay,I-ORG
10572,2331,Lumu,B-LOC
3400,756,Hayt'ay,I-ORG
9268,2045,.,O
1725,379,',O
17184,5338,Mozartqa,I-PER
9420,2080,tiyan,O
2357,520,iskay,I-PER
13517,3616,Independencia,B-LOC
6360,1401,Rit'i,B-PER
5374,1184,suyu,I-LOC
8612,1896,panakan,O
10083,2224,.,O
6746,1487,parki,I-ORG
1427,321,Runallaqta,I-LOC
11400,2586,distritu,I-LOC
15502,4765,Tola,I-PER
1613,358,Andrés,B-PER
6405,1411,Rosales,I-ORG
10662,2349,.,O
14199,4069,Manu,B-LOC
12062,2881,distritu,I-LOC
2669,591,.,O
2599,576,London,B-LOC
3375,750,Kupa,I-ORG
5093,1115,Manas,O
1924,421,kawsaq,O
6027,1328,Juan,I-LOC
13087,3339,Pichiwa,I-LOC
5139,1126,Tiwtinku,B-LOC
7062,1558,',O
9637,2124,de,I-PER
14150,4041,Napu,B-LOC
6943,1531,munisipyu,I-LOC
3186,708,mama,I-ORG
16999,5275,de,I-PER
5319,1170,Piluta,B-ORG
501,118,),I-LOC
832,189,(,O
10875,2395,),O
6707,1478,',O
3325,738,Sunturninpim,I-ORG
15876,4914,Francescoli,I-PER
15896,4920,Santa,I-PER
17249,5357,Utishi,B-LOC
3135,698,',O
13506,3608,Naska,B-LOC
3419,761,suyu,I-LOC
7330,1621,',O
16488,5109,María,I-PER
2740,609,suyu,I-LOC
15794,4880,Plancarte,I-PER
2117,466,parki,I-ORG
12693,3167,Matara,B-LOC
9001,1985,(,I-LOC
1088,247,Antonio,B-PER
710,163,llaqta,I-ORG
12344,3006,distritu,I-LOC
5276,1160,chichiku,I-LOC
3959,879,22,O
9759,2148,Stéfano,I-PER
8522,1877,Yachay,I-ORG
13417,3557,Buenaventura,I-LOC
10710,2360,Antonio,B-PER
11939,2821,Quyshqu,B-LOC
9453,2087,Wik'uñakuna,B-ORG
9027,1991,Vulpes,O
2219,490,Wilhelm,B-PER
5152,1129,Kupa,I-ORG
5328,1172,Kupa,I-ORG
1348,305,Kamasqa,O
7524,1658,Châtelier,I-PER
11443,2607,Leymebamba,B-LOC
5583,1231,(,I-LOC
10539,2324,Montero,I-PER
4301,952,Johann,I-PER
5713,1262,quchuntinpaqmi,O
16312,5057,Solar,I-PER
8018,1767,PUSAPUNA,O
14382,4187,Ignacio,B-LOC
16721,5181,Neil,B-PER
13378,3536,Marqus,B-LOC
15983,4947,Córdoba,I-PER
1127,257,',O
12508,3079,distritu,I-LOC
15575,4792,Rodolfo,B-PER
12158,2926,Castilla,B-LOC
14391,4192,Sullana,B-LOC
4715,1035,Chunwa,B-ORG
3265,725,.,O
4714,1034,),O
163,39,peruviana,O
9636,2124,Denílson,B-PER
9769,2150,María,I-PER
5186,1136,kawsaykuska,I-ORG
6607,1457,de,I-LOC
6856,1514,pruwinsya,I-LOC
5292,1164,Marco,B-PER
2966,661,**,O
7404,1635,.,O
3615,807,.,O
7192,1589,Piemonte,B-LOC
7729,1703,.,O
6723,1482,München,I-ORG
13410,3554,Rupa,I-LOC
12209,2946,distritu,I-LOC
14973,4568,kachakuytapas,I-ORG
13867,3861,Kañaris,B-LOC
9245,2039,),O
13330,3496,pruwinsya,I-LOC
11219,2515,pruwinsya,I-LOC
1300,294,Dichter,O
16320,5059,Julián,I-PER
2243,495,suyu,I-LOC
11909,2807,distritu,I-LOC
6256,1379,(,O
16687,5169,Rosalba,I-PER
5560,1224,Umalliqmi,O
13011,3303,distritu,I-LOC
1401,316,',O
15126,4615,Mamani,I-PER
14544,4303,Quri,I-LOC
3890,866,sutip,I-ORG
9070,2000,Yawyu,B-LOC
8321,1837,Pastasa,B-LOC
11403,2587,distritu,I-LOC
9893,2179,Griguryu,B-PER
12848,3233,Pirias,I-LOC
8042,1772,(,O
1273,289,.,O
13150,3369,Qullqipata,B-LOC
10637,2344,y,I-PER
2474,547,6.025,O
7728,1703,>,O
6255,1379,',O
12377,3022,Mejía,B-LOC
6941,1531,Puerto,B-LOC
14206,4076,Labirintu,B-LOC
13182,3385,Anqara,B-LOC
3157,702,Wantar,B-LOC
14972,4568,kamayoqkuna,B-ORG
11732,2728,Comandante,B-LOC
9108,2010,distritu,I-LOC
9165,2023,Erinaceidae,O
15572,4790,Mayor,I-PER
3080,685,113,O
12460,3058,Juan,I-LOC
16109,4989,Bravo,I-PER
4466,986,suyupi,I-LOC
16018,4956,Pacheco,I-PER
9880,2175,Punu,B-LOC
11435,2603,Chiliquín,B-LOC
5710,1261,1998,I-ORG
17344,5378,llaqta,I-LOC
1,0,(,O
720,165,Qhichwa,B-ORG
1156,262,Román,I-PER
12304,2986,distritu,I-LOC
11953,2828,Kichis,B-LOC
13671,3726,Panquwa,B-LOC
6883,1519,1888-1892,O
3993,887,.,O
9026,1991,',O
12499,3075,distritu,I-LOC
4306,953,',O
8095,1785,Duarte,I-PER
7700,1697,Pidru,I-LOC
15798,4882,Gonzalo,B-PER
16501,5112,Peña,I-PER
14715,4398,Kantarawi,B-LOC
4570,1006,Partidupipas,I-ORG
7921,1746,Jérôme,B-PER
13160,3374,Kikihana,B-LOC
3788,846,),O
14535,4296,Inampari,I-LOC
5432,1193,jamesi,O
9735,2145,',O
1526,339,Domenico,B-PER
13415,3556,distritu,I-LOC
17353,5380,risirwa,I-LOC
8437,1858,.,O
4546,1001,qhapaq,I-ORG
10750,2370,Uma,B-PER
10070,2220,'Anas,O
9620,2121,Llaqtap,I-ORG
11214,2513,Lampalliqi,B-LOC
16624,5150,Luise,I-PER
11775,2747,Waras,B-LOC
7693,1695,Humphrey,B-PER
5786,1277,ñawra,I-ORG
9466,2089,llaqtam,O
13757,3783,Wasu,B-LOC
1443,324,",",O
16827,5217,Rafaela,I-PER
1737,382,Juan,B-ORG
10339,2281,Kupa,I-ORG
3141,699,Cipriano,B-PER
2711,604,Piluta,B-ORG
12969,3282,pruwinsya,I-LOC
3667,818,2,O
2902,648,Pampa,I-LOC
7950,1752,),O
9382,2072,parki,I-ORG
9311,2052,parki,I-ORG
16175,5013,Isaac,B-PER
5533,1219,Piluta,B-ORG
5434,1194,Piluta,B-ORG
182,45,pusapuna,O
10682,2354,',O
7768,1713,1962,O
10769,2373,Platini,I-PER
10556,2328,.,O
9566,2109,Waskaran,B-LOC
1542,343,.,O
1904,417,-,O
3022,672,),O
12960,3278,Yawyukan,B-LOC
1785,391,Qullqi,I-ORG
6395,1408,Indihina,I-ORG
9325,2056,München,I-ORG
7641,1682,2002,I-ORG
8358,1845,",",O
16515,5118,Rubén,B-PER
6817,1505,suyu,I-LOC
13804,3821,Chuka,I-LOC
2101,462,Sunch'upampa,B-ORG
4695,1031,PUSAPUNA,O
8859,1951,.,O
11401,2587,La,B-LOC
11809,2762,Machaqway,B-LOC
13887,3876,Kanta,B-LOC
605,141,Wasin,I-ORG
13838,3842,Chunkuyapi,B-LOC
1515,339,",",O
3430,764,Mollohuanca,I-PER
3623,809,Kashamarka,B-LOC
16987,5271,Sandro,B-PER
4290,949,),I-LOC
14814,4449,Ipariya,B-LOC
2024,443,.,O
10221,2254,Pachantin,I-ORG
8221,1817,.,O
1121,255,kamachiy,I-ORG
10454,2307,Chuqiyapu,B-LOC
10836,2385,Belanov,I-PER
6530,1438,gryphus,O
7566,1666,Surutu,B-LOC
15862,4908,Khalifa,I-PER
8834,1945,',O
4510,993,Canseco,I-PER
4135,917,de,I-ORG
7721,1701,Pachantin,I-ORG
10024,2208,),I-LOC
9984,2199,Tukuy,B-ORG
667,154,),O
15813,4888,Eduardo,B-PER
9844,2167,Antonio,B-PER
1792,393,pinkuyllu,I-ORG
17150,5325,Luiswan,I-PER
9377,2071,Borussia,B-ORG
5425,1192,pruwinsya,I-LOC
8815,1940,(,O
990,225,rit'i,I-LOC
7364,1627,Feira,I-ORG
14761,4424,Willar,I-LOC
4266,945,sirinka,I-ORG
14893,4508,Carloscha,B-PER
8412,1856,wari,I-ORG
6968,1538,Yupanki,I-PER
7397,1634,Andrew,B-PER
855,194,2006,I-ORG
16709,5175,Jugo,I-PER
3744,836,llaqta,I-ORG
2929,654,Juan,B-PER
11653,2693,distritu,I-LOC
12674,3159,San,B-LOC
13618,3678,Sapallanka,B-LOC
2697,600,llaqtapi,O
3486,778,distritu,I-LOC
12965,3280,pruwinsya,I-LOC
