,index,Unnamed: 0,sentence_id,words,labels
0,0,14302,22543,k' is pi ñ uta,s
1,1,14462,22703,hu ch' uy manta,adj.
2,2,8300,16541,yur akunatapas,s
3,3,396,8588,ninku m.,v
4,4,2292,10501,kas q ach u.,v
5,5,7432,15673,r ap ich akunata,s
6,6,2872,11088,yawar,s
7,7,4469,12692,waq r ata,s
8,8,11230,19471,puch kan ataq,v
9,9,14879,23120,may qan kaq tapas,adv.
10,10,8486,16727,waw akunaqa,s
11,11,14784,23025,wawa,s
12,12,2152,10359,is chu,s
13,13,6180,14421,ch' uq ñ i ;,s
14,14,8625,16866,uq ata,s
15,15,7388,15629,kay man,adv.
16,16,10376,18617,was i pi m,s
17,17,8129,16370,ich hu qa,s
18,18,1194,9391,K ut iq qa,s
19,19,8636,16877,T hu t aqa,s
20,20,4718,12941,qucha,s
21,21,8529,16770,k' am ikuy qa,v
22,22,5872,14113,h anku ll ata,s
23,23,9555,17796,chunka,s
24,24,8112,16353,wiñ achin .,v
25,25,5393,13629,qhip an an paq qa,v
26,26,701,8895,waq achin ku.,v
27,27,11729,19970,iskay,det.
28,28,1599,9804,¡ Am aw tapas,s
29,29,13501,21742,mana,adv.
30,30,2404,10613,pamp ay sim us un.,v
31,31,8272,16513,chayqa,pron.demostrativo
32,32,11062,19303,paq uch a,s
33,33,7909,16150,huñ uy pa,s
34,34,3202,11418,qu llan akunaqa,s
35,35,9293,17534,chur apun a.,v
36,36,10052,18293,an y akun.,v
37,37,12844,21085,K am aq qa,s
38,38,12730,20971,wak,adj.
39,39,7304,15545,hark' am uw anku m.,v
40,40,13447,21688,p hu kuspa,adj.
41,41,2551,10766,Was k ata,s
42,42,48,30564,ñ u qan chik hina,pron.
43,43,13430,21671,qhari,s
44,44,11173,19414,qh ach qa,adj.
45,45,12143,20384,kaq taq,conj.
46,46,10028,18269,ru p haw ach kan.,v
47,47,2369,10578,pak p aka,s
48,48,11244,19485,mikhuq,s
49,49,10499,18740,q ich unchik,v
50,50,11123,19364,¿ M ayn iq taq,pron.interrog.
51,51,1319,9516,As n u pa,s
52,52,12577,20818,s ul is,s
53,53,6510,14751,ch as ki kuna.,s
54,54,11464,19705,Y uy aq,adj.
55,55,8954,17195,s asa,adj.
56,56,1657,9862,"rant ikus un,",v
57,57,2835,11051,taq sam us un.,v
58,58,13315,21556,sut in mi:,s
59,59,10012,18253,"q' ip in,",v
60,60,2287,10496,may tuta,s
61,61,11232,19473,pall an a.,v
62,62,3879,12101,t im puch kan ñ am.,v
63,63,6623,14864,Kay,det.
64,64,12650,20891,patapi,adv.
65,65,11348,19589,sun kh a,adj.
66,66,2992,11208,q ayn a,adj.
67,67,14173,22414,"chur aq ku,",v
68,68,11591,19832,p'unchaw,s
69,69,7798,16039,"pich qa,",s
70,70,13270,21511,"kan,",v
71,71,3560,11780,Manam,adv.
72,72,13599,21840,taw apas,pron.definido
73,73,7550,15791,Ñ aw paq qa,adv.
74,74,1721,9926,sik i,s
75,75,12653,20894,Ch ir imanta,adj.
76,76,11145,19386,Ch ak ra,s
77,77,1626,9831,kur ku.,adj.
78,78,10896,19137,warm imanta,s
79,79,15120,23361,ichaqa,adv.
80,80,12043,20284,n ap ayku w anku :,v
81,81,13322,21563,1 /,adj.
82,82,4274,12497,mis kich u.,adj.
83,83,2427,10639,Y up ayta,s
84,84,6200,14441,Ch' us iq,s
85,85,14940,23181,Ll ama,s
86,86,11238,19479,Ñawpa,adj.
87,87,716,8910,rin ri,s
88,88,6303,14544,ay s an.,v
89,89,9272,17513,Run tu pa,s
90,90,11437,19678,pap aqa,s
91,91,710,8904,¿ Ch ill pi,adj.
92,92,6175,14416,ch' up u,s
93,93,10519,18760,haw aq ' ull ay,s
94,94,7824,16065,hu m p' iqa,s
95,95,6672,14913,"ay chay uq mi,",adj.
96,96,2456,10668,chay ay kam uch kan ñ a.,v
97,97,1324,9521,Ll ull u,adj.
98,98,14233,22474,all anapaq,adj.
99,99,9728,14921,chay wanqa,pron.
100,100,2234,10443,rumi ta,s
101,101,10025,18266,k is ata,s
102,102,9550,17791,chunka,s
103,103,10231,18472,Un qu y,s
104,104,14273,22514,allpapi,s
105,105,10910,19151,p' as ñ akunata,s
